StudentID, Name, Gender, Birthday, SocialID, Main Class
21127001,Le Dinh Tung,Male,28/02/2003,14425007,21CLC01
21127003,Trinh Thi Thuy Linh,Female,24/10/2003,10505742,21CLC01
21127005,Duong Thi Kim Anh,Female,19/07/2003,18566428,21CLC01
21127008,Hoang Minh Hieu,Male,23/09/2003,10861174,21CLC01
21127009,Pham Minh Chinh,Male,6/1/2003,16806605,21CLC01
21127011,Vu Thanh Tam,Male,1/10/2003,12048829,21CLC01
21127012,Dao Van Anh,Male,13/02/2003,12206603,21CLC01
21127014,Pham Minh Anh,Male,10/10/2003,14904446,21CLC01
21127017,Hoang Minh Tan,Male,19/10/2003,15206358,21CLC01
21127018,Tran Huu Tuan,Male,1/3/2003,10043672,21CLC01
21127019,Tran Thi Thanh Nga,Female,15/07/2003,14454300,21CLC01
21127020,Bui Minh Tam,Male,28/11/2003,10140005,21CLC01
21127022,Duong Van Hai,Male,20/09/2003,12052663,21CLC01
21127025,Ly Thi Thanh Huong,Female,27/09/2003,10888360,21CLC01
21127029,Ngo Van Anh,Male,16/02/2003,14666600,21CLC01
21127031,Duong Thi Lan,Female,17/10/2003,16130225,21CLC01
21127033,Dao Minh Quan,Male,12/6/2003,12740007,21CLC01
21127034,Dang Van Minh,Male,24/10/2003,16200148,21CLC01
21127035,Dang Thi Thao,Female,5/3/2003,10853050,21CLC01
21127036,Le Thi Thanh Mai,Female,19/07/2003,17606828,21CLC01
