StudentID, Name, Gender, Birthday, SocialID, Main Class
22125002,Le Thanh Long,Male,15/07/2004,10003262,22APCS01
22125003,Phan Thanh Hai,Male,28/11/2004,12012480,22APCS01
22125005,Dao Thanh Long,Male,20/09/2004,15891340,22APCS01
22125006,Tran Van Hoa,Male,4/1/2004,15066055,22APCS01
22125007,Phan Van Tam,Male,17/05/2004,10064842,22APCS01
22125010,Bui Thanh Hoa,Male,26/06/2004,15308009,22APCS01
22125012,Duong Van Minh,Male,21/02/2004,18842869,22APCS01
22125013,Hoang Van Thanh,Male,7/6/2004,16610040,22APCS01
22125014,Vu Thi Thanh Xuan,Female,20/10/2004,12180084,22APCS01
22125019,Phan Huu Hai,Male,21/09/2004,12475041,22APCS01
22125020,Hoang Thi Thu Huong,Female,5/1/2004,16694007,22APCS01
22125024,Bui Quoc Bao,Male,27/06/2004,10706086,22APCS01
22125026,Dao Thi Thanh Thuy,Female,22/02/2004,19068642,22APCS01
22125028,Vu Thi Dieu,Female,19/10/2004,10702024,22APCS01
22125029,Do Thi Cam Tu,Female,3/3/2004,10989028,22APCS01
22125034,Phan Thi Thu Thuy,Female,6/1/2004,10457225,22APCS01
22125035,Do Thi Thu Trang,Female,19/05/2004,16347202,22APCS01
22125037,Tran Thi Thu,Female,14/02/2004,12058404,22APCS01
22125038,Pham Minh Tuan,Male,28/06/2004,18620002,22APCS01
22125039,Dang Thi Mai,Female,11/10/2004,10730400,22APCS01
