StudentID, Name, Gender, Birthday, SocialID, Main Class
21125002,Do Thanh Tung,Male,15/05/2003,14826844,21APCS01
21125004,Dao Thi Thu Huong,Female,10/2/2003,10008522,21APCS01
21125010,Dang Thi Bich Thuy,Female,28/02/2003,13208756,21APCS01
21125012,Pham Van Minh,Male,24/10/2003,13496050,21APCS01
21125016,Dang Thi Bich Ngoc,Female,12/5/2003,11050899,21APCS01
21125018,Do Minh Tung,Male,6/1/2003,10004002,21APCS01
21125019,Le Minh Khanh,Male,20/05/2003,16206406,21APCS01
21125020,Tran Thi Bich Ngoc,Female,1/10/2003,14402020,21APCS01
21125022,Trinh Minh Anh,Male,28/06/2003,10805606,21APCS01
21125023,Dang Minh Duc,Male,10/10/2003,10624006,21APCS01
21125024,Trinh Thi Thuy Dung,Female,21/02/2003,10405552,21APCS01
21125025,Ngo Minh Tuan,Male,6/6/2003,12256275,21APCS01
21125026,Trinh Van Son,Male,19/10/2003,12090467,21APCS01
21125029,Vu Thi Thanh Ha,Female,28/11/2003,14400008,21APCS01
21125030,Pham Thi Hien,Female,9/5/2003,12229840,21APCS01
21125032,Duong Thi Thanh Huong,Female,2/1/2003,12685624,21APCS01
21125033,Trinh Thi Ngoc Ha,Female,14/05/2003,16025801,21APCS01
21125036,Trinh Thanh Tam,Male,23/06/2003,13005270,21APCS01
21125037,Ngo Thi Ngoc Anh,Female,5/10/2003,18960975,21APCS01
21125040,Phan Van Thanh,Male,17/10/2003,18280529,21APCS01
