StudentID,Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21127002,Do Thi Thanh Huyen,,,,
21127004,Tran Minh Hieu,,,,
21127006,Trinh Minh Tuan,,,,
21127007,Dao Minh Hoa,,,,
21127010,Ngo Thi Thuy,,,,
21127013,Phan Thi Thanh,,,,
21127015,Vu Thanh Tung,,,,
21127016,Dang Thi Thanh Huyen,,,,
21127021,Phan Thi Kim Ngan,,,,
21127023,Bui The Anh,,,,
21127024,Phan Thi Thanh Huyen,,,,
21127026,Dang Thanh Tu,,,,
21127027,Ngo Duc Anh,,,,
21127028,Vu Quoc Khanh,,,,
21127030,Do Van Tuan,,,,
21127032,Bui Thanh Tung,,,,
21127037,Tran Thi Kim Anh,,,,
21127038,Duong Thanh Nam,,,,
21127039,Dao Huu Tri,,,,
21127040,Nguyen Thi Ngoc Tram,,,,
