StudentID,Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127001,Trinh Thi Loan,,,,
22127004,Pham Thi Thanh Thao,,,,
22127005,Duong Thi Thanh Huong,,,,
22127006,Duong Van Tuan,,,,
22127009,Ly Thanh Tam,,,,
22127012,Do Thi Huong Giang,,,,
22127014,Do Van Hoa,,,,
22127018,Pham Quang Huy,,,,
22127019,Pham Thi Bich,,,,
22127022,Hoang Thi Hong Nhung,,,,
22127023,Nguyen Thi Anh,,,,
22127024,Vu Thi Kim Anh,,,,
22127027,Tran Thi Mai Huong,,,,
22127029,Nguyen Thanh Tung,,,,
22127030,Ly Van Hoa,,,,
22127032,Phan Huu Duc,,,,
22127035,Tran Van Anh,,,,
22127036,Trinh Thi Hong Hanh,,,,
22127039,Le Thi Kim Anh,,,,
22127040,Pham Thi Lan Anh,,,,
