Student ID,Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21125001,Phan Thi Kim Chi,,,,
21125003,Bui Thi Ha,,,,
21125005,Dang Van Hoang,,,,
21125006,Ngo Minh Anh,,,,
21125007,Tran Thi Thanh,,,,
21125008,Duong Thi Linh,,,,
21125009,Bui Van Hung,,,,
21125011,Duong Thi Hong Nhung,,,,
21125013,Pham Thi Kim Ngan,,,,
21125014,Phan Thi Thanh Mai,,,,
21125015,Dang Minh Hai,,,,
21125017,Bui Minh Tan,,,,
21125021,Hoang Quoc Anh,,,,
21125027,Pham Quoc Dat,,,,
21125028,Hoang Thi Thanh Thao,,,,
21125031,Do Thi My Linh,,,,
21125034,Ly Thanh Tung,,,,
21125035,Pham Van Long,,,,
21125038,Trinh Thi Thanh Ha,,,,
21125039,Bui Thi Lan Anh,,,,
