Student ID,Student Name,Gender,Birthday,Social ID,Main Class,Password
20127158,Nguyen Van Bao,Male,5/11/2002,48269357,20CLC01,12345678
20127246,Tran Thi Mai,Female,18/7/2002,91578632,20CLC01,12345678
20127392,Le Van Minh,Male,23/4/2002,72481596,20CLC01,12345678
20127417,Pham Thanh Huong,Female,9/9/2002,63897254,20CLC01,12345678
20127583,Hoang Tuan Anh,Male,13/2/2002,19752483,20CLC01,12345678
20127621,Nguyen Thi Thao,Female,28/10/2002,56937142,20CLC01,12345678
20127734,Vo Quang Hieu,Male,19/6/2002,85169724,20CLC01,12345678
20127895,Do Thu Ha,Female,8/1/2002,27381956,20CLC01,12345678
20127963,Trinh Duy Khanh,Male,14/12/2002,74823165,20CLC01,12345678
20127149,Bui Thi Lan,Female,25/3/2002,92678543,20CLC01,12345678
20127236,Luu Hoang Long,Male,6/8/2002,53127946,20CLC01,12345678
20127367,Ngo Thanh Nhan,Female,10/5/2002,84761523,20CLC01,12345678
20127491,Phan Huy Hoang,Male,7/11/2002,62934781,20CLC01,12345678
20127542,Dinh Thi Ngoc,Female,20/9/2002,31869257,20CLC01,12345678
20127688,Huynh Van Hung,Male,3/2/2002,58471326,20CLC01,12345678
20127779,Tran Ngoc Anh,Female,12/7/2002,79285634,20CLC01,12345678
20127827,Nguyen Duc Quan,Male,29/1/2002,46587193,20CLC01,12345678
20127975,Ho Van Linh,Female,17/6/2002,31749825,20CLC01,12345678
20127139,Vo Thi Mai,Male,11/4/2002,85924613,20CLC01,12345678
20127259,Le Minh Tuan,Female,2/8/2002,64219738,20CLC01,12345678
20127358,Truong Thi Kim Loan,Male,16/12/2002,57381926,20CLC01,12345678
20127483,Nguyen Hoang Nam,Female,24/10/2002,29846571,20CLC01,12345678
20127531,Tran Thi Nga,Male,22/3/2002,71682394,20CLC01,12345678
20127649,Le Cong Trung,Female,9/7/2002,49528763,20CLC01,12345678
20127768,Pham Thi Dieu Linh,Male,5/6/2002,83719254,20CLC01,12345678
20127812,Hoang Minh Quan,Female,21/11/2002,46278513,20CLC01,12345678
20127988,Vo Thi Thanh Truc,Male,1/2/2002,51974368,20CLC01,12345678
20127171,Do Van Hieu,Female,28/9/2002,97416283,20CLC01,12345678
20127273,Trinh Thi Thu Trang,Male,14/8/2002,35891476,20CLC01,12345678
20127323,Bui Van Cuong,Female,7/4/2002,68159732,20CLC01,12345678
20127464,Luu Thi Hien,Male,19/1/2002,24768913,20CLC01,12345678
20127594,Ngo Duc An,Female,23/5/2002,53192784,20CLC01,12345678
20127676,Phan Thi Ngoc Anh,Male,12/10/2002,78946123,20CLC01,12345678
20127797,Dinh Van Hoa,Female,8/3/2002,63519782,20CLC01,12345678
20127861,Huynh Thi My,Male,2/9/2002,82461593,20CLC01,12345678
20127947,Tran Quang Huy,Female,11/6/2002,57329186,20CLC01,12345678
20127152,Nguyen Thi Kim Anh,Male,15/12/2002,46918275,20CLC01,12345678
20127297,Ho Van Khanh,Female,26/8/2002,92851476,20CLC01,12345678
20127389,Vo Thi Phuong Anh,Male,18/4/2002,64197235,20CLC01,12345678
20127439,Le Minh Hung,Female,3/11/2002,85371946,20CLC01,12345678
20127572,Truong Van Thanh,Male,20/7/2002,29658137,20CLC01,12345678
20127683,Nguyen Thi Bich Ngoc,Female,9/2/2002,71862495,20CLC01,12345678
20127712,Tran Van Phuc,Male,5/10/2002,35498721,20CLC01,12345678
20127831,Le Thi Thanh Tam,Female,24/6/2002,69278341,20CLC01,12345678
20127925,Pham Van Khanh,Male,13/1/2002,81529746,20CLC01,12345678
20127183,Hoang Thi Huong,Female,17/3/2002,43798256,20CLC01,12345678
20127268,Vo Van An,Male,30/11/2002,57213489,20CLC01,12345678
20127313,Do Thi Thuy Linh,Female,22/9/2002,19857324,20CLC01,12345678
20127457,Trinh Van Hien,Male,10/5/2002,63185927,20CLC01,12345678
20127526,Bui Thi Lan Anh,Female,6/7/2002,84762193,20CLC02,12345678
20127617,Luu Van Anh,Male,21/12/2002,51978642,20CLC02,12345678
20127738,Ngo Thi Ngoc Tram,Female,1/10/2002,74291836,20CLC02,12345678
20127819,Phan Van Hieu,Male,8/4/2002,36587129,20CLC02,12345678
20127935,Dinh Thi Hong,Female,18/2/2002,92738154,20CLC02,12345678
20127197,Huynh Van Minh,Male,11/8/2002,58413796,20CLC02,12345678
20127294,Tran Thi My Linh,Female,28/3/2002,37982415,20CLC02,12345678
20127349,Nguyen Van Hieu,Male,15/6/2002,46192875,20CLC02,12345678
20127478,Ho Thi Mai,Female,7/1/2002,72649851,20CLC02,12345678
20127511,Vo Van Quan,Male,25/11/2002,58319724,20CLC02,12345678
20127658,Le Thi Kim Anh,Female,3/9/2002,24781936,20CLC02,12345678
20127743,Truong Van Hung,Male,17/5/2002,86532971,20CLC02,12345678
20127876,Nguyen Thi Thanh Thao,Female,12/10/2002,19782465,20CLC02,12345678
20127953,Tran Van Dung,Male,22/7/2002,51279463,20CLC02,12345678
20127186,Le Thi Ha,Female,5/4/2002,73895126,20CLC02,12345678
20127241,Pham Van Tuan,Male,19/1/2002,48657931,20CLC02,12345678
20127374,Hoang Thi Thanh Huyen,Female,9/11/2002,91572834,20CLC02,12345678
20127462,Vo Van Huy,Male,30/8/2002,65218479,20CLC02,12345678
20127538,Do Thi Phuong Thao,Female,14/2/2002,43792681,20CLC02,12345678
20127692,Trinh Van Thanh,Male,24/6/2002,58971436,20CLC02,12345678
20127751,Bui Thi Thanh Huong,Female,11/3/2002,37291584,20CLC02,12345678
20127885,Luu Van Minh,Male,26/10/2002,69438125,20CLC02,12345678
20127917,Ngo Thi Thu Ha,Female,6/7/2002,82145976,20CLC02,12345678
