21125001,Phan Thi Kim Chi,Female,3/1/2003,10694908,21APCS02
21125002,Do Thanh Tung,Male,15/05/2003,14826844,21APCS01
21125003,Bui Thi Ha,Female,28/09/2003,10304055,21APCS02
21125004,Dao Thi Thu Huong,Female,10/2/2003,10008522,21APCS01
21125005,Dang Van Hoang,Male,24/06/2003,19580600,21APCS02
21125006,Ngo Minh Anh,Male,7/10/2003,10680609,21APCS02
21125007,Tran Thi Thanh,Female,18/02/2003,14660808,21APCS02
21125008,Duong Thi Linh,Female,3/6/2003,15542642,21APCS02
21125009,Bui Van Hung,Male,16/10/2003,10048823,21APCS02
21125010,Dang Thi Bich Thuy,Female,28/02/2003,13208756,21APCS01
21125011,Duong Thi Hong Nhung,Female,12/6/2003,15638426,21APCS02
21125012,Pham Van Minh,Male,24/10/2003,13496050,21APCS01
21125013,Pham Thi Kim Ngan,Female,5/3/2003,16050922,21APCS02
21125014,Phan Thi Thanh Mai,Female,19/07/2003,14406805,21APCS02
21125015,Dang Minh Hai,Male,30/11/2003,11004650,21APCS02
21125016,Dang Thi Bich Ngoc,Female,12/5/2003,11050899,21APCS01
21125017,Bui Minh Tan,Male,23/09/2003,18006755,21APCS02
21125018,Do Minh Tung,Male,6/1/2003,10004002,21APCS01
21125019,Le Minh Khanh,Male,20/05/2003,16206406,21APCS01
21125020,Tran Thi Bich Ngoc,Female,1/10/2003,14402020,21APCS01
21125021,Hoang Quoc Anh,Male,13/02/2003,10506668,21APCS02
21125022,Trinh Minh Anh,Male,28/06/2003,10805606,21APCS01
21125023,Dang Minh Duc,Male,10/10/2003,10624006,21APCS01
21125024,Trinh Thi Thuy Dung,Female,21/02/2003,10405552,21APCS01
21125025,Ngo Minh Tuan,Male,6/6/2003,12256275,21APCS01
21125026,Trinh Van Son,Male,19/10/2003,12090467,21APCS01
21125027,Pham Quoc Dat,Male,1/3/2003,18905064,21APCS02
21125028,Hoang Thi Thanh Thao,Female,15/07/2003,10068667,21APCS02
21125029,Vu Thi Thanh Ha,Female,28/11/2003,14400008,21APCS01
21125030,Pham Thi Hien,Female,9/5/2003,12229840,21APCS01
21125031,Do Thi My Linh,Female,20/09/2003,10085094,21APCS02
21125032,Duong Thi Thanh Huong,Female,2/1/2003,12685624,21APCS01
21125033,Trinh Thi Ngoc Ha,Female,14/05/2003,16025801,21APCS01
21125034,Ly Thanh Tung,Male,27/09/2003,15520282,21APCS02
21125035,Pham Van Long,Male,9/2/2003,12250560,21APCS02
21125036,Trinh Thanh Tam,Male,23/06/2003,13005270,21APCS01
21125037,Ngo Thi Ngoc Anh,Female,5/10/2003,18960975,21APCS01
21125038,Trinh Thi Thanh Ha,Female,16/02/2003,19685728,21APCS02
21125039,Bui Thi Lan Anh,Female,3/6/2003,10884044,21APCS02
21125040,Phan Van Thanh,Male,17/10/2003,18280529,21APCS01
