22125001,Trinh Thi Mai,Female,1/3/2004,15166808,22APCS02
22125002,Le Thanh Long,Male,15/07/2004,10003262,22APCS01
22125003,Phan Thanh Hai,Male,28/11/2004,12012480,22APCS01
22125004,Ngo Thi Kim Anh,Female,9/5/2004,12003000,22APCS02
22125005,Dao Thanh Long,Male,20/09/2004,15891340,22APCS01
22125006,Tran Van Hoa,Male,4/1/2004,15066055,22APCS01
22125007,Phan Van Tam,Male,17/05/2004,10064842,22APCS01
22125008,Ngo Thi Kim Oanh,Female,30/09/2004,14063502,22APCS02
22125009,Hoang Thi Thuy,Female,12/2/2004,12006128,22APCS02
22125010,Bui Thanh Hoa,Male,26/06/2004,15308009,22APCS01
22125011,Le Thi Phuong Thao,Female,9/10/2004,10650006,22APCS02
22125012,Duong Van Minh,Male,21/02/2004,18842869,22APCS01
22125013,Hoang Van Thanh,Male,7/6/2004,16610040,22APCS01
22125014,Vu Thi Thanh Xuan,Female,20/10/2004,12180084,22APCS01
22125015,Hoang Van Hoa,Male,2/3/2004,12688570,22APCS02
22125016,Tran Quang Hai,Male,16/07/2004,18096400,22APCS02
22125017,Le Minh Tuan,Male,29/11/2004,15401444,22APCS02
22125018,Ly Thi Kim Thoa,Female,10/5/2004,12446028,22APCS02
22125019,Phan Huu Hai,Male,21/09/2004,12475041,22APCS01
22125020,Hoang Thi Thu Huong,Female,5/1/2004,16694007,22APCS01
22125021,Trinh Van Quan,Male,18/05/2004,18220002,22APCS02
22125022,Nguyen Van Duc,Male,1/10/2004,16628708,22APCS02
22125023,Ngo Van Dat,Male,13/02/2004,10583381,22APCS02
22125024,Bui Quoc Bao,Male,27/06/2004,10706086,22APCS01
22125025,Nguyen Thanh Tam,Male,10/10/2004,10965303,22APCS02
22125026,Dao Thi Thanh Thuy,Female,22/02/2004,19068642,22APCS01
22125027,Vu Thanh Tuan,Male,6/6/2004,14646045,22APCS02
22125028,Vu Thi Dieu,Female,19/10/2004,10702024,22APCS01
22125029,Do Thi Cam Tu,Female,3/3/2004,10989028,22APCS01
22125030,Nguyen Hai Dang,Male,17/07/2004,15200803,22APCS02
22125031,Dao Thi Thanh Tam,Female,30/11/2004,12483664,22APCS02
22125032,Dang Thi Thuy Dung,Female,11/5/2004,12600503,22APCS02
22125033,Ly Thi Thanh,Female,22/09/2004,16097462,22APCS02
22125034,Phan Thi Thu Thuy,Female,6/1/2004,10457225,22APCS01
22125035,Do Thi Thu Trang,Female,19/05/2004,16347202,22APCS01
22125036,Dang Van Hai,Male,2/10/2004,11609846,22APCS02
22125037,Tran Thi Thu,Female,14/02/2004,12058404,22APCS01
22125038,Pham Minh Tuan,Male,28/06/2004,18620002,22APCS01
22125039,Dang Thi Mai,Female,11/10/2004,10730400,22APCS01
22125040,Vu Thi Mai,Female,23/02/2004,19408825,22APCS02
