23125001,Vu Thi Ngoc Anh,Female,7/6/2005,14022200,23APCS02
23125002,Dao Minh Hieu,Male,20/10/2005,10837830,23APCS02
23125003,Hoang Thi Kim Loan,Female,4/3/2005,12200050,23APCS01
23125004,Tran Minh Tuan,Male,18/07/2005,14023405,23APCS01
23125005,Duong Minh Anh,Male,1/12/2005,14106164,23APCS02
23125006,Bui Thi Thanh Nga,Female,12/5/2005,18292105,23APCS01
23125007,Dao Thi My,Female,23/09/2005,18056871,23APCS02
23125008,Nguyen Thi Hang,Female,7/1/2005,17088160,23APCS02
23125009,Ly Quoc Tuan,Male,20/05/2005,18506480,23APCS01
23125010,Le Thi Thu Huyen,Female,3/10/2005,18625442,23APCS02
23125011,Ly Thi Phuong Thao,Female,15/02/2005,15508588,23APCS01
23125012,Vu Van Hung,Male,29/06/2005,10452202,23APCS01
23125013,Vu Thi Ngoc Tram,Female,12/10/2005,10600698,23APCS01
23125014,Duong Minh Tam,Male,24/02/2005,10401810,23APCS02
23125015,Phan Thi Thanh Ngan,Female,7/6/2005,18104708,23APCS02
23125016,Pham Thi Thu Ha,Female,21/10/2005,10224001,23APCS02
23125017,Hoang Van Tam,Male,5/3/2005,18470043,23APCS01
23125018,Dang Thi Huong,Female,19/07/2005,10300051,23APCS01
23125019,Ngo Van Minh,Male,2/12/2005,15310278,23APCS02
23125020,Nguyen Van Hieu,Male,13/05/2005,10684596,23APCS01
23125021,Nguyen Thanh Tung,Male,24/09/2005,11220446,23APCS01
23125022,Tran Van Phuc,Male,8/1/2005,10026000,23APCS01
23125023,Phan Minh Anh,Male,21/05/2005,16500604,23APCS02
23125024,Bui Thi Minh,Female,4/10/2005,11025606,23APCS02
23125025,Dao Thi Thu Ha,Female,16/02/2005,10639850,23APCS02
23125026,Dao Thi Kim,Female,1/7/2005,19142058,23APCS02
23125027,Nguyen Thi Thu Thao,Female,14/10/2005,10212953,23APCS01
23125028,Dao Thanh Tung,Male,26/02/2005,15518584,23APCS02
23125029,Ly Thi Hong,Female,9/6/2005,18000309,23APCS01
23125030,Ngo Hai Duong,Male,22/10/2005,12680064,23APCS02
23125031,Hoang Minh Tam,Male,6/3/2005,13203887,23APCS01
23125032,Pham Thi Thu Hien,Female,20/07/2005,10009844,23APCS02
23125033,Le Thanh Tuan,Male,3/12/2005,10429701,23APCS01
23125034,Hoang Minh Quang,Male,14/05/2005,16031230,23APCS01
23125035,Do Dinh Phong,Male,25/09/2005,12645552,23APCS02
23125036,Dao Thi Thanh Thao,Female,9/1/2005,10206439,23APCS01
23125037,Ngo Thi Ngoc Hanh,Female,22/05/2005,13660300,23APCS01
23125038,Duong Thanh Hai,Male,5/10/2005,12738050,23APCS02
23125039,Ngo Thanh Tuan,Male,17/02/2005,15014089,23APCS02
23125040,Le Minh Hiep,Male,2/7/2005,16586085,23APCS01
